0.00000,-0.0029
0.10010,-0.0035
0.20000,-0.0039
0.30000,-0.0043
0.39990,-0.0047
0.50000,-0.0049
0.60010,-0.0051
0.70000,-0.0050
0.80000,-0.0046
0.89990,-0.0039
1.0000,-0.0029
1.1001,-0.0016
1.2000,-0.0002
1.3000,0.0015
1.3999,0.0032
1.5000,0.0053
1.6001,0.0074
1.7000,0.0096
1.8000,0.0118
1.8999,0.0140
2.0000,0.0162
2.1001,0.0183
2.2000,0.0202
2.3000,0.0219
2.3999,0.0237
2.5000,0.0252
2.6001,0.0266
2.7000,0.0279
2.8000,0.0294
2.8999,0.0308
3.0000,0.0324
3.1001,0.0342
3.2000,0.0359
3.3000,0.0378
3.3999,0.0399
3.5000,0.0420
3.6001,0.0441
3.7000,0.0463
3.8000,0.0486
3.8999,0.0508
4.0000,0.0531
4.1001,0.0555
4.2000,0.0578
4.3000,0.0601
4.3999,0.0624
4.5000,0.0648
4.6001,0.0671
4.7000,0.0696
4.8000,0.0724
4.8999,0.0753
5.0000,0.0790
5.1001,0.0825
5.2000,0.0863
5.3000,0.0903
5.3999,0.0944
5.5000,0.0987
5.6001,0.1031
5.7000,0.1072
5.8000,0.1113
5.8999,0.1150
6.0000,0.1186
6.1001,0.1219
6.2000,0.1249
6.3000,0.1273
6.3999,0.1294
6.5000,0.1316
6.6001,0.1334
6.7000,0.1349
6.8000,0.1366
6.8999,0.1382
7.0000,0.1398
7.1001,0.1417
7.2000,0.1436
7.3000,0.1458
7.3999,0.1485
7.5000,0.1511
7.6001,0.1542
7.7000,0.1577
7.8000,0.1609
7.8999,0.1646
8.0000,0.1687
8.1001,0.1733
8.2000,0.1785
8.3000,0.1839
8.3999,0.1901
8.5000,0.1963
8.6001,0.2030
8.7000,0.2105
8.8000,0.2182
8.8999,0.2267
9.0000,0.2360
9.1001,0.2457
9.2000,0.2561
9.3000,0.2671
9.3999,0.2788
9.5000,0.2909
9.6001,0.3034
9.7000,0.3160
9.8000,0.3286
9.8999,0.3413
10.000,0.3539
10.100,0.3666
10.200,0.3793
10.300,0.3918
10.400,0.4051
10.500,0.4190
10.600,0.4332
10.700,0.4485
10.800,0.4642
10.900,0.4803
11.000,0.4967
11.100,0.5129
11.200,0.5297
11.300,0.5466
